AbuQash,Surda,2.9
AbuQash,LacasaMall,3.8
AbuQash,Birzeit,3.6
AlBireh,Ramallah,2.5
AlMidya,Budrus,3.9
AlMidya,DayrQadis,4.5
Anata,Hizma,8.6
Anata,BaytIksa,17.9
BaytIksa,BirNabala,17.6
Baytillu,Jamala,3.5
Baytillu,DeirAmmar,2.3
Baytin,AlBireh,12.9
Baytin,DayrDibwan,4.4
Baytin,EinYabrud,3.8
BaytSira,Safa,5.4
BaytSira,KharbathaAlmisbah,2.8
BaytSira,BeitLiqya,4
BaytSurik,Beit'Anan,5.6
BaytSurik,BaytIksa,2.8
Beit'Anan,BeitLiqya,10
BeitLiqya,KharbathaAlmisbah,4
Beitunia,EinArik,5.9
Beitunia,Ramallah,4.7
BeitUrAlfauqa,BeitUrAlTahta,3
BeitUrAlfauqa,Tira,2.2
BeitUrAlTahta,KharbathaAlmisbah,1.5
BeitUrAlTahta,Safa,2.8
Bilin,KafrNima,2.4
Bilin,KharbathaBaniHarith,3.7
BirNabala,AlJudeira,1
Birzeit,EinSinya,5
Budrus,Qibya,2.6
DayrDibwan,Ramun,6.6
DayrDibwan,EinYabrud,7.8
DayrIbzi',KafrNima,3.3
DayrIbzi',EinArik,2.8
DayrIbzi',EinQiniya,4.4
DayrJarir,Silwad,4.5
DayrJarir,Taiba,1.2
DayrQadis,KharbathaBaniHarith,2.9
DayrQadis,Shabtin,2.8
DeirAmmar,Jamala,1.2
DuraElKaria,EinYabrud,2.9
DuraElKaria,EinSinya,2
EinQiniya,LacasaMall,2.3
EinQiniya,Janiya,5.2
EinSinya,Silwad,5.2
EinYabrud,Silwad,4.6
EinYabrud,DayrJarir,6.2
Jaba,KafrAqab,5.4
Hizma,Jaba,3
Jamala,Shabtin,4.7
Janiya,RasKarker,2.2
KafrAqab,Qalandia,7
KafrAqab,Ramallah,5.5
KharbathaBaniHarith,RasKarker,5
MazraAlqibliya,LacasaMall,5.2
MazraAlqibliya,AbuQash,5.6
Qalandia,Ramallah,12.6
Qibya,Shabtin,4.3
Ramun,Taiba,3.7
Safa,Bilin,3.6
Surda,AlBireh,5.3
Surda,LacasaMall,4.9
ThePalestinianMuseum,Birzeit,2.6
ThePalestinianMuseum,AbuQash,1.8
